,J,dJ,stepsize
0,0.8176157582251103,-3.5556904474762043,0.078125
1,0.6814290045160318,-0.061980601505261794,0.00390625
2,0.6812737488837192,-0.00795075610546382,0.00390625
3,0.6812556854320028,0.0,0.0390625
4,0.6810188020162493,-0.06288899622264442,0.00390625
5,0.6809406393190215,0.0,0.02734375
6,0.6808345475766486,-0.03825961743170153,0.00390625
7,0.6809187808882997,0.0,0.03515625
8,0.6807322911191223,-0.018937936330289805,0.00390625
9,0.6807652632730179,0.0,0.015625
10,0.6807232848128978,-0.018992342901226787,0.00390625
11,0.6807548158887784,0.0,0.01953125
12,0.6807088883210066,-0.017313242102514347,0.00390625
13,0.680810376606268,0.0,0.0234375
14,0.6807266248956718,-0.021046673847259223,0.00390625
15,0.6807511930611982,0.0,0.015625
16,0.6807100572578356,-0.010639784629267037,0.00390625
17,0.6807742047848419,0.0,0.01953125
18,0.6807258961248284,-0.025149649038372072,0.00390625
19,0.6807964006001528,0.0,0.0234375
20,0.6807139348648251,-0.014333041475053047,0.00390625
21,0.6807647430469324,0.0,0.015625
22,0.6807218959395975,-0.015952484237120007,0.00390625
23,0.6808250188138026,0.0,0.02734375
24,0.68072083471819,-0.018641559343032018,0.00390625
25,0.6808164089318077,0.0,0.02734375
26,0.6807118926443145,-0.016907558423462768,0.00390625
27,0.6808138368706206,0.0,0.0234375
28,0.680727502194131,-0.02096637521003248,0.00390625
29,0.6807518191900899,0.0,0.01953125
30,0.6807058994662343,-0.015599035393741674,0.00390625
31,0.6808140501740538,0.0,0.0234375
32,0.6807339651844055,-0.024841547992512106,0.00390625
33,0.6807441927097713,0.0,0.015625
34,0.6807031189174736,-0.006448813688083453,0.00390625
35,0.6808132611121226,0.0,0.0234375
36,0.680742264331807,-0.03077963206307059,0.00390625
37,0.6807604381864074,0.0,0.01953125
38,0.6807032906601731,-0.008300131954077996,0.00390625
39,0.6807777714464799,0.0,0.015625
